
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
742561        0xB54A1         ESP Image (ESP32): segment count: 7, flash mode: QUIO, flash speed: 80MHz, flash size: 1MB, entry address: 0x896400, hash: none
2097152       0x200000        UEFI PI Firmware Volume, volume size: 262144, header size: 96, revision: 0, EFI Firmware File System v2, GUID: 8C8CE578-8A3D-4F1C-3599-896185C32DD3
2686976       0x290000        UEFI PI Firmware Volume, volume size: 3866624, header size: 96, revision: 0, EFI Firmware File System v2, GUID: 8C8CE578-8A3D-4F1C-3599-896185C32DD3
2687876       0x290384        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 15402 bytes
2695072       0x291FA0        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 3186 bytes
2696688       0x2925F0        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 126182 bytes
2752664       0x2A0098        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 2958 bytes
2754160       0x2A0670        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 40210 bytes
2769944       0x2A4418        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 3022 bytes
2771088       0x2A4890        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 14022 bytes
2777456       0x2A6170        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 92974 bytes
2819520       0x2B05C0        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 38902 bytes
2837584       0x2B4C50        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 1170 bytes
2838096       0x2B4E50        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 9670 bytes
2843420       0x2B631C        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 6026 bytes
2846216       0x2B6E08        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 2570 bytes
2847320       0x2B7258        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 6234 bytes
2850496       0x2B7EC0        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 17602 bytes
2857648       0x2B9AB0        LZMA compressed data, properties: 0x5D, dictionary size: 16777216 bytes, uncompressed size: 3482 bytes
